item_id,pv_users,buy_users,conversion_rate
81,5.0,1.0,0.2
1138,5.0,2.0,0.4
2118,7.0,1.0,0.14285714285714285
2211,5.0,1.0,0.2
3955,10.0,2.0,0.2
6311,27.0,1.0,0.037037037037037035
6524,10.0,1.0,0.1
7521,11.0,1.0,0.09090909090909091
9402,6.0,1.0,0.16666666666666666
9825,11.0,1.0,0.09090909090909091
10151,11.0,1.0,0.09090909090909091
11517,18.0,6.0,0.3333333333333333
12012,5.0,1.0,0.2
14490,14.0,1.0,0.07142857142857142
15709,8.0,2.0,0.25
16968,12.0,1.0,0.08333333333333333
17220,7.0,2.0,0.2857142857142857
18304,5.0,1.0,0.2
19028,5.0,1.0,0.2
19459,5.0,1.0,0.2
22854,7.0,1.0,0.14285714285714285
23928,11.0,1.0,0.09090909090909091
24120,13.0,2.0,0.15384615384615385
24834,10.0,2.0,0.2
25164,7.0,1.0,0.14285714285714285
25397,17.0,1.0,0.058823529411764705
29181,12.0,2.0,0.16666666666666666
32339,15.0,1.0,0.06666666666666667
36024,11.0,1.0,0.09090909090909091
36611,9.0,3.0,0.3333333333333333
40093,8.0,1.0,0.125
41508,11.0,1.0,0.09090909090909091
44258,18.0,1.0,0.05555555555555555
45698,8.0,1.0,0.125
46132,7.0,1.0,0.14285714285714285
46417,6.0,1.0,0.16666666666666666
46419,5.0,1.0,0.2
48125,7.0,1.0,0.14285714285714285
48168,5.0,1.0,0.2
48995,23.0,3.0,0.13043478260869565
49384,6.0,1.0,0.16666666666666666
50917,22.0,1.0,0.045454545454545456
51449,5.0,1.0,0.2
53064,7.0,1.0,0.14285714285714285
54664,6.0,1.0,0.16666666666666666
59872,10.0,1.0,0.1
61372,5.0,2.0,0.4
63605,5.0,1.0,0.2
65043,6.0,1.0,0.16666666666666666
66449,7.0,2.0,0.2857142857142857
67054,5.0,1.0,0.2
67087,5.0,1.0,0.2
68708,10.0,1.0,0.1
68814,55.0,1.0,0.01818181818181818
69993,10.0,1.0,0.1
70176,43.0,1.0,0.023255813953488372
74694,11.0,1.0,0.09090909090909091
74876,13.0,3.0,0.23076923076923078
75120,6.0,1.0,0.16666666666666666
76038,7.0,3.0,0.42857142857142855
77312,5.0,1.0,0.2
77376,5.0,1.0,0.2
80051,15.0,1.0,0.06666666666666667
80627,12.0,1.0,0.08333333333333333
81790,8.0,1.0,0.125
82286,9.0,1.0,0.1111111111111111
86591,16.0,1.0,0.0625
86676,8.0,1.0,0.125
87164,5.0,1.0,0.2
88903,47.0,1.0,0.02127659574468085
93783,8.0,1.0,0.125
95843,9.0,3.0,0.3333333333333333
95958,5.0,1.0,0.2
104735,17.0,2.0,0.11764705882352941
105123,6.0,1.0,0.16666666666666666
107385,18.0,1.0,0.05555555555555555
112633,7.0,1.0,0.14285714285714285
114355,12.0,2.0,0.16666666666666666
115535,9.0,1.0,0.1111111111111111
115955,5.0,1.0,0.2
116309,19.0,1.0,0.05263157894736842
120363,5.0,1.0,0.2
120487,5.0,2.0,0.4
